Year,squirrel_id,taglft,tagrt,gr,locx,locy,reflo,sq_fate,2nd?,Confirmed present,OBS 1,Date 1,Date 2,CA1,CA2,Width,Length,No_Quad,Quad_area,Q1A_old,Q1A_new,Q1B_old,Q1B_new,Q2A_old,Q2A_new,Q2B_old,Q2B_new,Q3A_old,Q3A_new,Q3B_old,Q3B_new,Q4A_old,Q4A_new,Q4B_old,Q4B_new,total_old,total_new,
2023,100185,M8445,M8446,KL,M.0,7.0,M7,21,,,NKMH,17-Sep,,1,,220,250,8,0.9,3,0,11,0,64,0,4,0,2,0,59,1,0,0,4,0,147,1,
2023,25862,M9498,-,KL,N.0,1.5,N1.,21,,,BLS,12-Sep,,2,,500,620,8,0.9,36,0,415,0,11,0,10,0,3,0,4,0,191,0,138,0,808,0,
2023,100263,M8672,M8673,KL,N.0,6.0,N6,21,,,NKMH,17-Sep,,1,,220,350,8,0.9,0,0,1,1,4,0,1,0,6,0,7,0,0,0,2,0,21,1,
2023,25290,M7935,M7936,KL,O.5,2.0,O.2,21,,,NKMH,17-Sep,,4,,390,650,8,0.9,340,0,380,0,1100,0,2,0,21,0,3,0,2,0,411,9,2259,9,
2023,25823,M9976,M9977,KL,O.5,2.5,O.2.,21,,,NKMH,17-Sep,,3,,380,550,8,0.9,221,6,439,0,104,0,26,0,39,0,37,0,0,0,32,0,898,6,
2023,25909,-,M9677,JO,A.5,5.0,A.5,21,,,NKMH,21-Sep,,2,,620,630,8,0.9,51,0,115,0,95,0,48,0,54,0,95,0,228,0,80,1,766,1,
2023,25990,M8589,M8590,JO,0.0,3.0,03,21,,,NKMH,21-Sep,,2,,400,520,8,0.9,34,0,5,0,31,0,41,0,28,0,14,0,30,0,28,0,211,0,
2023,25939,M8518,M8518,JO,F.0,3.0,F3,21,,,NKMH,21-Sep,,4,,390,750,8,0.9,58,0,151,0,79,0,312,0,14,4,736,0,57,6,42,0,1449,10,
2023,25314,M7622,M7623,JO,E.0,1.5,E1.,21,,,WHH,21-Sep,,2,,590,660,8,0.9,22,0,21,0,28,0,6,0,25,0,19,0,17,0,34,0,172,0,
2023,25216,-,M0926,JO,F.5,10.5,F.10.,21,,,WHH,21-Sep,,2,,500,600,8,0.9,38,1,1,0,3,1,4,0,5,0,5,0,1,0,7,0,64,2,
2023,25678,M9582,M9583,JO,H.0,8.5,H8.,21,,,WHH,21-Sep,,2,,620,630,8,0.9,2,0,4,0,3,0,6,0,22,0,33,0,3,0,68,0,141,0,
2023,25624,M7683,M7584,JO,J.5,12.5,J.12.,21,,,BLS,21-Sep,,3,,475,610,8,0.9,431,0,98,0,236,0,89,0,117,0,158,0,381,0,26,0,1536,0,
2023,25225,-,M5906,JO,D.0,17.0,D17,21,,,BLS,23-Sep,,4,,440,480,8,0.9,22,0,336,0,536,0,362,1,432,0,330,0,33,0,128,0,2179,1,
2023,26010,M8583,M8584,JO,H.5,17.5,H.17.,21,,,BLS,23-Sep,,2,,380,690,8,0.9,0,8,2,0,6,0,0,0,7,0,1,0,0,0,0,0,16,8,
2023,26001,M8537,M8538,JO,I.5,16.5,I.16.,21,,,BLS,23-Sep,,1,,440,470,8,0.9,12,0,5,0,152,2,236,0,19,4,161,0,0,0,0,0,585,6,
2023,25820,M7691,-,JO,O.5,1.5,O.1.,21,,,SB,22-Sep,,4,,390,650,8,0.9,6,0,63,0,111,0,31,0,168,0,32,0,56,0,35,0,502,0,
2023,25232,M7509,-,JO,P.5,5.5,P.5.,21,,,SB,23-Sep,,2,,480,610,8,0.9,2,0,21,0,10,0,91,0,10,0,274,0,23,0,449,0,880,0,
2023,25979,M8389,M8408,JO,Q.0,4.0,Q4,21,,,SB,23-Sep,,2,,320,685,8,0.9,52,0,7,0,192,0,68,0,173,0,103,0,150,0,4,0,749,0,
2023,25140,M7846,M7847,JO,Q.0,9.0,Q9,21,,,SB,23-Sep,,2,,460,610,8,0.9,9,0,28,1,37,0,137,0,18,0,79,0,4,0,24,0,336,1,
2023,25713,M7419,M7420,JO,L.0,16.5,L16.,21,,,SB,23-Sep,,2,,390,890,8,0.9,46,0,14,0,72,0,7,0,11,0,152,0,3,0,49,0,354,0,
2023,25711,M7429,M7430,JO,K.0,14.5,K14.,21,,,SB,23-Sep,,1,,380,460,8,0.9,0,0,0,0,38,0,35,0,28,0,232,0,1,0,159,0,493,0,
2023,25714,M7417,M7418,JO,J.5,15.5,J.15.,21,,,SB,23-Sep,,4,,690,770,8,0.9,14,0,55,0,4,0,46,0,14,0,79,0,43,0,2,0,257,0,
2023,22652,M4667,M4668,SU,M.0,2.5,M2.,22,,,BLS,17-Sep,,4,,490,580,8,0.9,532,1,51,10,13,0,6,1,14,0,3,1,124,8,141,12,884,33,
2023,24940,M7059,M7495,SU,0.5,3.0,0.3,21,,,BLS,16-Sep,,4,,700,780,8,0.9,99,0,21,0,117,0,30,0,289,6,61,1,168,3,84,2,869,12,
2023,25156,M7828,M7829,SU,A.0,17.0,A17,21,,,SB,20-Sep,,1,,280,440,8,0.9,5,0,12,0,4,0,6,0,7,0,12,0,6,0,5,0,57,0,
2023,25230,M7235,M7241,SU,C.0,12.0,C12,21,,,BLS,17-Sep,,5,,340,690,8,0.9,434,13,221,3,407,2,329,25,945,4,158,3,12,29,51,3,2557,82,
2023,25342,M7799,M7780,SU,B.5,9.5,B.9.,21,,,BLS,17-Sep,,2,,190,280,8,0.9,7,0,3,0,57,0,1,0,2,0,0,0,49,1,0,0,119,1,
2023,25386,M7243,M7216,SU,H.5,5.0,H.5,21,,,BLS,17-Sep,,1,,350,600,8,0.9,7,0,59,0,103,0,22,0,57,0,2,1,0,0,7,0,257,1,
2023,25549,M7557,M7558,SU,U.0,5.5,U5.,21,,,BLS,20-Sep,,4,,655,990,8,0.9,14,1,218,3,33,0,21,0,0,0,0,0,14,0,427,0,727,4,
2023,25857,M9601,M9602,SU,N.0,7.5,N7.,21,,,BLS,21-Sep,,3,,470,530,8,0.9,101,0,21,0,29,0,110,0,0,0,167,0,357,0,1,0,786,0,
2023,25878,M9897,M9898,SU,E.5,1.5,E.1.,21,,,BLS,19-Sep,,4,,560,880,8,0.9,56,0,4,4,218,3,61,0,25,0,57,0,152,0,59,0,632,7,
2023,25965,-,M9925,SU,S.0,8.0,S8,21,,,BLS,20-Sep,,1,,440,650,8,0.9,32,0,9,7,106,0,4,0,109,0,177,0,17,0,13,2,467,9,
